Timestamp,Target,Port,Service,Banner,Risk
2026-05-26 21:40:22.373189,127.0.0.1,135,MSRPC,No Banner Available,LOW
2026-05-26 21:40:22.373208,127.0.0.1,445,SMB,No Banner Available,MEDIUM - SMB exposed
